Date,Ålder_0_9,Ålder_10_19,Ålder_20_29,Ålder_30_39,Ålder_40_49,Ålder_50_59,Ålder_60_69,Ålder_70_79,Ålder_80_90,Ålder_90_plus,Uppgift saknas,Ålder_80_89,80+
2020-05-07,118.0,282.0,1975.0,2635.0,3337.0,4324.0,3110.0,3046.0,0.0,2031.0,8.0,3757.0,5788.0
2020-05-08,118.0,286.0,2057.0,2733.0,3432.0,4450.0,3176.0,3098.0,0.0,2076.0,7.0,3832.0,5908.0
2020-05-09,123.0,289.0,2142.0,2825.0,3532.0,4584.0,3239.0,3147.0,0.0,2125.0,5.0,3910.0,6035.0
2020-05-10,128.0,291.0,2195.0,2876.0,3608.0,4657.0,3278.0,3180.0,0.0,2148.0,6.0,3955.0,6103.0
2020-05-11,130.0,293.0,2230.0,2927.0,3659.0,4721.0,3323.0,3221.0,0.0,2170.0,5.0,3991.0,6161.0
2020-05-12,132.0,300.0,2290.0,3002.0,3743.0,4817.0,3397.0,3277.0,0.0,2227.0,5.0,4082.0,6309.0
2020-05-13,133.0,310.0,2361.0,3110.0,3861.0,4929.0,3464.0,3327.0,0.0,2262.0,6.0,4146.0,6408.0
2020-05-14,134.0,319.0,2444.0,3201.0,3992.0,5061.0,3541.0,3382.0,0.0,2298.0,6.0,4204.0,6502.0
2020-05-15,135.0,330.0,2512.0,3294.0,4107.0,5198.0,3608.0,3422.0,0.0,2326.0,5.0,4270.0,6596.0
2020-05-16,141.0,341.0,2563.0,3382.0,4181.0,5287.0,3657.0,3459.0,0.0,2347.0,5.0,4314.0,6661.0
2020-05-17,144.0,345.0,2615.0,3445.0,4260.0,5370.0,3712.0,3508.0,0.0,2384.0,5.0,4355.0,6739.0
2020-05-18,145.0,349.0,2641.0,3487.0,4289.0,5410.0,3733.0,3533.0,0.0,2399.0,5.0,4386.0,6785.0
2020-05-19,146.0,353.0,2686.0,3531.0,4365.0,5474.0,3782.0,3581.0,0.0,2428.0,8.0,4445.0,6873.0
2020-05-20,147.0,364.0,2781.0,3662.0,4486.0,5604.0,3862.0,3636.0,0.0,2463.0,8.0,4510.0,6973.0
2020-05-21,148.0,371.0,2880.0,3752.0,4583.0,5753.0,3938.0,3681.0,0.0,2494.0,8.0,4564.0,7058.0
2020-05-22,154.0,379.0,2952.0,3847.0,4690.0,5891.0,4001.0,3723.0,0.0,2533.0,8.0,4631.0,7164.0
2020-05-23,155.0,383.0,2988.0,3891.0,4749.0,5955.0,4041.0,3769.0,0.0,2573.0,8.0,4676.0,7249.0
2020-05-24,157.0,386.0,3006.0,3926.0,4793.0,6008.0,4071.0,3800.0,0.0,2600.0,10.0,4702.0,7302.0
2020-05-25,163.0,389.0,3054.0,3974.0,4859.0,6065.0,4112.0,3841.0,0.0,2622.0,10.0,4754.0,7376.0
2020-05-26,168.0,401.0,3104.0,4051.0,4962.0,6190.0,4186.0,3888.0,0.0,2652.0,8.0,4830.0,7482.0
2020-05-27,168.0,413.0,3186.0,4158.0,5074.0,6316.0,4263.0,3935.0,0.0,2683.0,8.0,4884.0,7567.0
2020-05-28,172.0,424.0,3268.0,4264.0,5182.0,6446.0,4345.0,3972.0,0.0,2711.0,8.0,4935.0,7646.0
2020-05-29,176.0,435.0,3344.0,4380.0,5326.0,6590.0,4428.0,4025.0,0.0,2758.0,8.0,5006.0,7764.0
2020-05-30,178.0,445.0,3439.0,4471.0,5441.0,6727.0,4504.0,4066.0,0.0,2781.0,8.0,5053.0,7834.0
2020-05-31,181.0,454.0,3492.0,4544.0,5508.0,6810.0,4552.0,4104.0,0.0,2802.0,8.0,5087.0,7889.0
2020-06-01,183.0,457.0,3527.0,4585.0,5566.0,6869.0,4592.0,4112.0,0.0,2810.0,11.0,5102.0,7912.0
2020-06-02,190.0,473.0,3610.0,4709.0,5725.0,7011.0,4685.0,4164.0,0.0,2844.0,12.0,5166.0,8010.0
2020-06-03,191.0,497.0,3909.0,5239.0,6240.0,7489.0,4903.0,4223.0,0.0,2871.0,14.0,5227.0,8098.0
2020-06-04,196.0,518.0,4058.0,5433.0,6463.0,7705.0,5020.0,4288.0,0.0,2903.0,15.0,5284.0,8187.0
2020-06-05,203.0,557.0,4207.0,5634.0,6658.0,7922.0,5117.0,4350.0,0.0,2930.0,14.0,5347.0,8277.0
2020-06-06,209.0,580.0,4343.0,5806.0,6852.0,8121.0,5218.0,4391.0,0.0,2957.0,14.0,5396.0,8353.0
2020-06-07,215.0,608.0,4479.0,5963.0,6994.0,8313.0,5308.0,4431.0,0.0,2975.0,14.0,5430.0,8405.0
2020-06-08,220.0,628.0,4543.0,6020.0,7061.0,8389.0,5349.0,4451.0,0.0,2994.0,15.0,5463.0,8457.0
2020-06-09,222.0,659.0,4631.0,6165.0,7236.0,8541.0,5425.0,4508.0,0.0,3017.0,14.0,5506.0,8523.0
2020-06-10,229.0,696.0,4756.0,6324.0,7393.0,8706.0,5511.0,4559.0,0.0,3051.0,14.0,5575.0,8626.0
2020-06-11,242.0,761.0,4995.0,6591.0,7709.0,8982.0,5672.0,4623.0,0.0,3076.0,14.0,5623.0,8699.0
2020-06-12,253.0,833.0,5244.0,6825.0,7979.0,9247.0,5809.0,4699.0,0.0,3103.0,14.0,5678.0,8781.0
2020-06-13,266.0,892.0,5483.0,7028.0,8211.0,9466.0,5920.0,4766.0,0.0,3147.0,15.0,5737.0,8884.0
2020-06-14,272.0,923.0,5606.0,7156.0,8354.0,9585.0,5976.0,4807.0,0.0,3159.0,16.0,5760.0,8919.0
2020-06-15,281.0,968.0,5728.0,7304.0,8504.0,9743.0,6056.0,4834.0,0.0,3173.0,16.0,5776.0,8949.0
2020-06-16,288.0,1019.0,5892.0,7470.0,8657.0,9915.0,6160.0,4885.0,0.0,3191.0,14.0,5832.0,9023.0
2020-06-17,296.0,1123.0,6112.0,7683.0,8906.0,10161.0,6262.0,4928.0,0.0,3213.0,16.0,5862.0,9075.0
2020-06-18,311.0,1257.0,6378.0,7919.0,9198.0,10439.0,6397.0,4988.0,0.0,3233.0,17.0,5906.0,9139.0
2020-06-22,345.0,1569.0,6860.0,8365.0,9783.0,10969.0,6666.0,5092.0,0.0,3271.0,17.0,5995.0,9266.0
2020-06-23,358.0,1706.0,7221.0,8714.0,10136.0,11311.0,6831.0,5179.0,0.0,3305.0,16.0,6060.0,9365.0
2020-06-24,368.0,1863.0,7513.0,8947.0,10416.0,11581.0,6954.0,5236.0,0.0,3331.0,16.0,6099.0,9430.0
2020-06-25,373.0,2026.0,7838.0,9191.0,10712.0,11880.0,7081.0,5286.0,0.0,3349.0,16.0,6138.0,9487.0
2020-06-26,380.0,2174.0,8108.0,9409.0,10935.0,12080.0,7177.0,5325.0,0.0,3361.0,16.0,6172.0,9533.0
2020-06-29,395.0,2409.0,8654.0,9868.0,11375.0,12523.0,7365.0,5422.0,0.0,3399.0,17.0,6240.0,9639.0
2020-06-30,401.0,2462.0,8844.0,10017.0,11507.0,12656.0,7418.0,5462.0,0.0,3403.0,17.0,6264.0,9667.0
2020-07-01,406.0,2555.0,9151.0,10249.0,11736.0,12865.0,7516.0,5494.0,0.0,3413.0,17.0,6290.0,9703.0
2020-07-02,408.0,2640.0,9372.0,10426.0,11902.0,13036.0,7592.0,5518.0,0.0,3421.0,19.0,6305.0,9726.0
2020-07-03,418.0,2697.0,9552.0,10575.0,12029.0,13158.0,7653.0,5544.0,0.0,3434.0,19.0,6340.0,9774.0
2020-07-06,432.0,2823.0,9945.0,10876.0,12301.0,13448.0,7781.0,5611.0,0.0,3452.0,21.0,6371.0,9823.0
2020-07-07,438.0,2848.0,9994.0,10912.0,12345.0,13502.0,7813.0,5621.0,0.0,3463.0,21.0,6387.0,9850.0
2020-07-08,441.0,2875.0,10123.0,11024.0,12420.0,13592.0,7857.0,5638.0,0.0,3472.0,20.0,6396.0,9868.0
